task_count,task_success_count,task_success_rate,avg_final_quality,avg_total_cost,avg_oracle_utility,group_id,experiment_id,market_variant
20,0,0.0,0.0,0,0.0,direct_general_service,overall_effectiveness,overall_effectiveness_results_v3
20,0,0.0,0.0,0,0.0,simple_rule_routing,overall_effectiveness,overall_effectiveness_results_v3
20,19,0.95,0.8622,0.4533,0.8117,basic_resolution,overall_effectiveness,overall_effectiveness_results_v3
20,18,0.9,0.862,0.4393,0.8119,full_multi_step,overall_effectiveness,overall_effectiveness_results_v3
16,0,0.0,0.0,0,0.0,direct_general_service,overall_effectiveness,overall_effectiveness_results_v2
16,0,0.0,0.0,0,0.0,simple_rule_routing,overall_effectiveness,overall_effectiveness_results_v2
16,14,0.875,0.8678,0.5092,0.8101,basic_resolution,overall_effectiveness,overall_effectiveness_results_v2
16,16,1.0,0.8683,0.5085,0.8207,full_multi_step,overall_effectiveness,overall_effectiveness_results_v2
8,0,0.0,0.0,0,0.0,simple_rule_routing,standard,robustness
8,6,0.75,0.8724,0.4399,0.8064,vector_enhanced,standard,robustness
8,7,0.875,0.8634,0.4731,0.8038,trust_feedback,standard,robustness
8,8,1.0,0.8679,0.511,0.8171,full_multi_step,standard,robustness
8,0,0.0,0.0,0,0.0,simple_rule_routing,fault_enhanced,robustness
8,6,0.75,0.8724,0.4399,0.8064,vector_enhanced,fault_enhanced,robustness
8,7,0.875,0.8634,0.4731,0.8038,trust_feedback,fault_enhanced,robustness
8,8,1.0,0.8679,0.511,0.8171,full_multi_step,fault_enhanced,robustness
8,0,0.0,0.0,0,0.0,simple_rule_routing,drift_enhanced,robustness
8,6,0.75,0.8707,0.4399,0.8017,vector_enhanced,drift_enhanced,robustness
8,7,0.875,0.8604,0.4731,0.7977,trust_feedback,drift_enhanced,robustness
8,8,1.0,0.8647,0.511,0.8112,full_multi_step,drift_enhanced,robustness
8,0,0.0,0.0,0,0.0,simple_rule_routing,deceptive_enhanced,robustness
8,6,0.75,0.8724,0.4399,0.8064,vector_enhanced,deceptive_enhanced,robustness
8,7,0.875,0.8634,0.4731,0.8038,trust_feedback,deceptive_enhanced,robustness
8,8,1.0,0.8679,0.511,0.8171,full_multi_step,deceptive_enhanced,robustness
8,0,0.0,0.0,0,0.0,direct_general_service,overall_effectiveness,standard
8,0,0.0,0.0,0,0.0,simple_rule_routing,overall_effectiveness,standard
8,7,0.875,0.8634,0.4731,0.8038,basic_resolution,overall_effectiveness,standard
8,8,1.0,0.8679,0.511,0.8171,full_multi_step,overall_effectiveness,standard
8,8,1.0,0.8746,0.5129,0.8234,basic_resolution,mechanism_ablation,standard
8,6,0.75,0.8724,0.4399,0.8064,vector_enhanced,mechanism_ablation,standard
8,7,0.875,0.8634,0.4731,0.8038,trust_feedback,mechanism_ablation,standard
8,8,1.0,0.8679,0.511,0.8171,full_multi_step,mechanism_ablation,standard
16,12,0.75,0.7861,0.2523,0.5691,basic_resolution,run_results,sample
